date,open,high,low,close,volume,dividends,stock splits,capital gains
2021-11-03,165,165,164,165,9055200,0,0,0
2021-11-04,167,168,167,167,6656100,0,0,0
2021-11-05,168,169,167,169,9368900,0,0,0
2021-11-08,170,170,170,170,4966100,0,0,0
2021-11-09,170,171,170,171,5781200,0,0,0
2021-11-10,173,174,172,173,11461800,0,0,0
2021-11-11,173,174,173,174,5959600,0,0,0
2021-11-12,173,174,173,174,7894800,0,0,0
2021-11-15,174,174,173,174,5630800,0,0,0
2021-11-16,173,174,172,172,8667300,0,0,0
2021-11-17,174,174,173,174,6523100,0,0,0
2021-11-18,173,174,173,173,6252000,0,0,0
2021-11-19,173,174,172,172,8785600,0,0,0
2021-11-22,169,170,168,168,13091900,0,0,0
2021-11-23,167,167,166,167,8047800,0,0,0
2021-11-24,166,167,166,167,5359500,0,0,0
2021-11-26,168,168,166,166,9605200,0,0,0
2021-11-29,166,167,166,166,7394900,0,0,0
2021-11-30,167,169,165,165,12925300,0,0,0
2021-12-01,166,167,166,166,7808600,0,0,0
2021-12-02,165,165,164,165,9604100,0,0,0
2021-12-03,165,166,165,166,9507900,0,0,0
2021-12-06,166,166,165,166,4813600,0,0,0
2021-12-07,166,167,166,166,4900700,0,0,0
2021-12-08,166,166,166,166,4288900,0,0,0
2021-12-09,166,166,165,165,4913800,0,0,0
2021-12-10,166,166,166,166,6450600,0,0,0
2021-12-13,166,167,166,167,6610700,0,0,0
2021-12-14,165,166,165,165,8637900,0,0,0
2021-12-15,165,166,163,166,14231200,0,0,0
2021-12-16,167,168,166,168,11186200,0,0,0
2021-12-17,168,169,167,167,9856900,0,0,0
2021-12-20,167,168,167,167,6973000,0,0,0
2021-12-21,167,167,166,167,4548500,0,0,0
2021-12-22,167,168,167,168,4672900,0,0,0
2021-12-23,168,169,168,168,4551100,0,0,0
2021-12-27,168,169,168,169,4760300,0,0,0
2021-12-28,169,169,168,168,4541900,0,0,0
2021-12-29,167,168,167,168,5889700,0,0,0
2021-12-30,168,169,168,169,5426300,0,0,0
2021-12-31,170,171,170,170,7039300,0,0,0
2022-01-03,168,169,168,168,9014400,0,0,0
2022-01-04,168,169,168,169,6965600,0,0,0
2022-01-05,170,170,168,169,8715600,0,0,0
2022-01-06,167,167,166,166,10902700,0,0,0
2022-01-07,167,168,166,167,8191900,0,0,0
2022-01-10,167,168,167,168,7026500,0,0,0
2022-01-11,168,170,168,170,8369000,0,0,0
2022-01-12,170,170,170,170,6280700,0,0,0
2022-01-13,170,170,169,170,7034200,0,0,0
2022-01-14,170,170,169,169,7865900,0,0,0
2022-01-18,169,170,169,169,9322800,0,0,0
2022-01-19,170,172,170,172,15784500,0,0,0
2022-01-20,172,172,171,171,9570500,0,0,0
2022-01-21,172,172,170,171,10982500,0,0,0
2022-01-24,171,172,170,172,15727700,0,0,0
2022-01-27,168,169,167,167,15867300,0,0,0
2022-01-28,166,167,166,167,9782500,0,0,0
2022-01-31,167,168,167,168,8539300,0,0,0
2022-02-01,168,168,167,168,9763900,0,0,0
2022-02-02,168,169,168,168,9085300,0,0,0
2022-02-03,168,168,167,168,10650800,0,0,0
2022-02-04,168,169,167,168,9619600,0,0,0
2022-02-07,169,170,169,170,7796900,0,0,0
2022-02-08,170,170,169,170,5802000,0,0,0
2022-02-09,170,171,170,171,8002800,0,0,0
2022-02-10,170,171,170,170,10693500,0,0,0
2022-02-14,173,175,173,174,13650700,0,0,0
2022-02-15,173,173,172,173,12603600,0,0,0
2022-02-16,173,174,173,174,12772100,0,0,0
2022-02-18,177,177,176,177,12760700,0,0,0
2022-02-22,177,178,176,177,14960500,0,0,0
2022-02-23,177,178,177,178,11772200,0,0,0
2022-02-25,176,176,175,176,11530900,0,0,0
2022-02-28,178,178,176,178,16055800,0,0,0
2022-03-03,179,181,179,180,15164400,0,0,0
2022-03-11,183,185,183,185,14824700,0,0,0
2022-03-14,183,183,181,182,13186400,0,0,0
2022-03-17,181,182,180,180,10954100,0,0,0
2022-03-18,179,180,179,179,13996500,0,0,0
2022-03-21,179,181,179,180,10582200,0,0,0
2022-03-22,179,179,178,179,9621800,0,0,0
2022-03-23,180,181,179,181,12557300,0,0,0
2022-03-24,182,183,181,183,10970100,0,0,0
2022-03-25,181,183,181,182,7911100,0,0,0
2022-03-28,180,181,178,179,9489700,0,0,0
2022-03-29,177,179,176,179,10458900,0,0,0
2022-03-30,179,180,179,180,8361300,0,0,0
2022-03-31,180,181,180,180,9844400,0,0,0
2022-04-01,179,180,178,179,13034400,0,0,0
2022-04-04,180,180,179,180,7063100,0,0,0
2022-04-05,180,181,178,179,10828500,0,0,0
2022-04-06,179,180,178,179,8942100,0,0,0
2022-04-07,179,180,179,180,10140600,0,0,0
2022-04-08,180,181,180,181,10655700,0,0,0
2022-04-11,183,183,181,182,10071300,0,0,0
2022-04-12,184,184,182,183,12024600,0,0,0
2022-04-13,184,184,184,184,8651600,0,0,0
2022-04-14,184,184,182,184,11567200,0,0,0
2022-04-18,185,186,184,184,8886700,0,0,0
2022-04-19,183,183,181,181,12585600,0,0,0
2022-04-20,181,182,181,182,7038600,0,0,0
2022-04-21,181,182,180,182,9639800,0,0,0
2022-04-22,180,181,179,180,9147000,0,0,0
2022-04-25,177,177,176,177,13073700,0,0,0
2022-04-26,177,178,176,177,9042400,0,0,0
2022-04-27,176,176,175,175,8854700,0,0,0
2022-04-28,175,176,175,176,6381100,0,0,0
2022-04-29,178,178,176,176,7719700,0,0,0
2022-05-02,173,174,172,173,14318600,0,0,0
2022-05-03,173,175,173,174,7214300,0,0,0
2022-05-04,174,176,173,175,10491700,0,0,0
2022-05-05,177,177,174,175,12794200,0,0,0
2022-05-06,175,176,174,175,7643300,0,0,0
2022-05-09,174,174,172,172,10742400,0,0,0
2022-05-10,173,173,171,171,11010400,0,0,0
2022-05-11,172,173,172,172,9179600,0,0,0
2022-05-12,172,172,169,170,11626800,0,0,0
2022-05-13,168,169,168,168,13031100,0,0,0
2022-05-16,168,170,168,170,7319300,0,0,0
2022-05-17,170,170,169,169,6441100,0,0,0
2022-05-18,169,170,168,169,7472900,0,0,0
2022-05-19,171,172,170,171,10580300,0,0,0
2022-05-20,171,172,170,172,6578100,0,0,0
2022-05-23,173,173,172,172,5518500,0,0,0
2022-05-24,173,174,173,174,6794000,0,0,0
2022-05-25,172,173,171,173,4595900,0,0,0
2022-05-26,172,172,171,172,6467000,0,0,0
2022-05-27,173,173,172,172,3847900,0,0,0
2022-05-31,172,173,171,171,6244000,0,0,0
2022-06-01,172,172,171,172,6946500,0,0,0
2022-06-02,173,174,173,174,5623100,0,0,0
2022-06-03,173,173,172,172,5519400,0,0,0
2022-06-06,172,172,171,171,3766000,0,0,0
2022-06-07,172,173,171,172,3860000,0,0,0
2022-06-08,172,173,172,172,5140800,0,0,0
2022-06-09,172,172,171,172,4701100,0,0,0
2022-06-10,170,174,170,174,16856100,0,0,0
2022-06-13,171,171,169,169,13265200,0,0,0
2022-06-14,169,169,168,168,7347900,0,0,0
2022-06-15,170,171,169,170,9000300,0,0,0
2022-06-16,170,172,170,172,8823600,0,0,0
2022-06-17,172,172,170,171,7407200,0,0,0
2022-06-21,171,171,170,170,5608500,0,0,0
2022-06-22,171,172,171,171,6558700,0,0,0
2022-06-23,171,172,169,170,6535300,0,0,0
2022-06-24,170,170,169,170,6143100,0,0,0
2022-06-27,170,170,169,169,5719700,0,0,0
2022-06-28,170,170,169,169,2982700,0,0,0
2022-06-29,170,170,169,169,4785600,0,0,0
2022-06-30,169,169,168,168,9144400,0,0,0
2022-07-01,167,168,166,168,11380300,0,0,0
2022-07-05,167,167,164,164,14035400,0,0,0
2022-07-06,164,164,161,162,11861100,0,0,0
2022-07-07,162,163,162,162,4588400,0,0,0
2022-07-08,162,163,161,162,4584100,0,0,0
2022-07-11,161,162,161,161,4321700,0,0,0
2022-07-12,161,161,160,160,5375100,0,0,0
2022-07-13,160,162,160,161,8456600,0,0,0
2022-07-14,159,159,158,159,12213600,0,0,0
2022-07-15,159,159,158,159,6783800,0,0,0
2022-07-18,160,160,159,159,5791800,0,0,0
2022-07-19,159,159,159,159,3796200,0,0,0
2022-07-20,159,159,158,158,4795800,0,0,0
2022-07-21,158,160,158,160,5863300,0,0,0
2022-07-22,160,162,160,160,5733800,0,0,0
2022-07-25,160,160,159,160,3713400,0,0,0
2022-07-26,160,160,159,160,2672800,0,0,0
2022-07-27,160,162,159,161,5766100,0,0,0
2022-07-28,163,163,162,163,5606400,0,0,0
2022-07-29,163,164,163,164,7537300,0,0,0
2022-08-01,164,165,164,165,4666900,0,0,0
2022-08-02,165,166,164,164,5725400,0,0,0
2022-08-03,164,164,163,164,4417800,0,0,0
2022-08-04,165,167,165,167,5502000,0,0,0
2022-08-05,164,165,164,165,6023300,0,0,0
2022-08-08,166,166,165,166,3456300,0,0,0
2022-08-09,167,167,166,167,3205500,0,0,0
2022-08-10,167,167,166,166,4077300,0,0,0
2022-08-11,167,167,166,166,4446000,0,0,0
2022-08-12,167,167,166,167,5151700,0,0,0
2022-08-15,165,166,165,165,5236100,0,0,0
2022-08-16,165,165,165,165,4291500,0,0,0
2022-08-17,165,165,163,164,5569100,0,0,0
2022-08-18,164,164,163,163,3646100,0,0,0
2022-08-19,163,163,162,162,8173000,0,0,0
2022-08-22,161,162,161,161,4458100,0,0,0
2022-08-23,161,163,161,162,4425100,0,0,0
2022-08-24,162,163,162,163,3202400,0,0,0
2022-08-25,163,163,163,163,2857500,0,0,0
2022-08-26,163,163,161,161,6689300,0,0,0
2022-08-29,161,162,161,161,4702300,0,0,0
2022-08-30,161,161,160,160,4856600,0,0,0
2022-08-31,159,160,159,159,5438600,0,0,0
2022-09-01,158,158,157,157,7390800,0,0,0
2022-09-02,159,160,159,159,5196900,0,0,0
2022-09-06,159,159,158,158,4863800,0,0,0
2022-09-07,158,160,158,159,3981400,0,0,0
2022-09-08,159,159,158,158,4607100,0,0,0
2022-09-09,159,160,159,159,3927800,0,0,0
2022-09-12,161,161,160,160,4537500,0,0,0
2022-09-13,158,159,158,158,6526400,0,0,0
2022-09-14,158,158,157,157,6091100,0,0,0
2022-09-15,156,157,154,154,13181200,0,0,0
2022-09-16,154,156,154,155,7141200,0,0,0
2022-09-19,154,156,154,155,5582800,0,0,0
2022-09-20,155,155,154,155,5943700,0,0,0
2022-09-21,155,157,154,155,7816100,0,0,0
2022-09-22,156,156,155,155,5975200,0,0,0
2022-09-23,153,154,152,153,9598000,0,0,0
2022-09-26,153,153,151,151,8240500,0,0,0
2022-09-27,152,152,151,151,7151300,0,0,0
2022-09-28,153,154,152,154,8977200,0,0,0
2022-09-29,154,155,153,154,6317000,0,0,0
2022-09-30,154,156,154,154,6832400,0,0,0
2022-10-03,155,158,155,158,10362200,0,0,0
2022-10-04,159,161,158,160,8024500,0,0,0
2022-10-05,159,160,158,159,5296300,0,0,0
2022-10-06,159,159,158,159,5712600,0,0,0
2022-10-07,158,158,157,157,5030000,0,0,0
2022-10-10,155,156,155,155,6110800,0,0,0
2022-10-11,155,156,154,155,5306700,0,0,0
2022-10-12,155,156,155,155,3998500,0,0,0
2022-10-13,153,155,152,154,7083800,0,0,0
2022-10-14,154,154,152,152,5471900,0,0,0
2022-10-17,154,155,153,153,4348000,0,0,0
2022-10-18,154,154,153,153,4528400,0,0,0
2022-10-19,152,152,151,151,8257100,0,0,0
2022-10-20,151,153,151,151,5019800,0,0,0
2022-10-21,151,154,151,154,6898400,0,0,0
2022-10-24,153,154,153,153,4673300,0,0,0
2022-10-25,153,154,153,154,3434100,0,0,0
2022-10-26,154,155,154,154,4448200,0,0,0
2022-10-27,154,155,154,154,3654900,0,0,0
2022-10-28,152,153,152,153,4645400,0,0,0
2022-10-31,152,152,151,151,6097800,0,0,0
2022-11-01,153,153,152,153,4603600,0,0,0
2022-11-02,154,155,152,152,7210900,0,0,0
2022-11-03,150,151,150,151,5378800,0,0,0
2022-11-04,154,156,154,156,7692000,0,0,0
2022-11-07,156,156,155,155,4425700,0,0,0
